match_id,home_team,away_team,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI
18245,Real Madrid,Liverpool,5.144975744,3.108396202,1.086484859,1.28206915,10.62192595,0.502786412,0.274226343,0.228560068
22536,North Carolina Courage,Orlando Pride,4.426332171,3.078051082,1.425105691,1.492509972,10.42199892,0.431177981,0.288874219,0.142303762
22912,Tottenham Hotspur,Liverpool,5.101512176,3.067933634,1.020270016,1.175972654,10.36568848,0.507174687,0.280949114,0.226225573
2302764,AC Milan,Liverpool,4.30094668,3.615865603,1.457878764,1.547810901,10.92250195,0.402003024,0.322813718,0.079189306
265830,Atlético Madrid,Barcelona,2.729209041,5.009848737,1.479891689,1.493738514,10.71268798,0.256056731,0.466363057,-0.210306325
265835,Barcelona,Sevilla,5.606230251,2.533667498,1.469659718,1.530594654,11.14015212,0.508715242,0.221965781,0.286749462
265837,Real Sociedad,Barcelona,3.049786609,4.849229399,1.175839771,1.485952785,10.56080856,0.318147953,0.429807657,-0.111659704
265839,Barcelona,Sevilla,5.259906086,2.928902886,1.318102168,1.279814599,10.78672574,0.484078176,0.275077955,0.209000221
265857,Real Madrid,Barcelona,2.776318979,5.29080559,1.06852851,1.225144116,10.3607972,0.283080011,0.495540052,-0.212460041
265866,Córdoba CF,Barcelona,1.928458407,6.005938705,1.240943896,1.293358545,10.46869955,0.189218636,0.568697576,-0.379478939
265894,Málaga,Barcelona,3.075846105,4.854842312,1.156586967,1.15674253,10.24401791,0.300272968,0.473904555,-0.173631586
265896,Barcelona,Eibar,6.051986057,1.933884691,1.525569738,1.35834789,10.86978838,0.541387192,0.193297833,0.348089359
265905,Orlando Pride,Chicago Red Stars,3.44596417,4.306130402,1.372199276,1.287641924,10.41193577,0.322841678,0.421697545,-0.098855867
265918,Barcelona,Rayo Vallecano,4.897790553,3.294741851,1.338565555,1.338246232,10.86934419,0.450576515,0.303151792,0.147424723
265944,Barcelona,Sporting Gijón,5.798211734,2.256338575,1.352356939,1.278966295,10.68587354,0.535737305,0.218019539,0.317717766
265952,Barcelona,Sporting Gijón,6.271304293,2.208118049,1.018728256,1.096314163,10.59446476,0.599264837,0.20109861,0.398166227
265958,Barcelona,Espanyol,5.334011761,2.511008354,1.361999655,1.405210099,10.61222987,0.506700502,0.232542825,0.274157678
265963,Barcelona,Getafe,5.901172134,2.384974919,1.34682284,1.35621585,10.98918574,0.537852875,0.216174516,0.321678359
266015,Real Valladolid,Barcelona,2.88291693,5.514901072,0.919658612,1.235163646,10.55264026,0.303092106,0.492710441,-0.189618335
266033,Valencia,Barcelona,2.491000253,5.346526691,1.194788279,1.450541905,10.48285713,0.262023401,0.485628393,-0.223604992
266045,Barcelona,Real Sociedad,5.132972361,2.665647571,1.429028875,1.427006997,10.6546558,0.481568863,0.250375939,0.231192924
266056,Eibar,Barcelona,2.891043529,5.555044475,1.234246698,0.981118894,10.6614536,0.247425522,0.5447824,-0.297356878
266066,Barcelona,Almería,6.237345825,2.110120833,1.207602697,1.280877796,10.83594715,0.582378341,0.187971176,0.394407164
266074,Barcelona,Osasuna,5.862411925,2.533951028,1.526760354,1.071236476,10.99435978,0.49178744,0.271909867,0.219877573
266106,Villarreal,Barcelona,3.058257486,5.351381891,1.027201589,0.950606194,10.38744716,0.287044742,0.522551615,-0.235506873
266117,Barcelona,Granada,5.308322472,2.651268843,1.280895182,1.431463593,10.67195009,0.511517655,0.2343246,0.277193055
266142,Sevilla,Barcelona,2.791672867,5.492810068,1.292398906,0.938852355,10.5157342,0.231855073,0.555962761,-0.324107688
266148,Barcelona,Málaga,4.852724206,2.426244777,1.967643958,1.883756288,11.13036923,0.428452681,0.22552104,0.202931641
266149,Barcelona,Athletic Club,6.319446535,2.191564987,1.114435903,1.102020665,10.72746809,0.587932888,0.205452042,0.382480846
266160,Levante,Barcelona,2.942836782,4.849693873,1.521545171,1.421094808,10.73517063,0.264773287,0.46111463,-0.196341343
266166,Atlético Madrid,Barcelona,2.698886791,5.504161156,1.053689377,1.08189373,10.33863105,0.263776812,0.529659756,-0.265882944
266191,Real Sociedad,Barcelona,4.150326242,3.310820833,1.230304565,1.629456652,10.32090829,0.440802127,0.282113615,0.158688512
266201,Elche,Barcelona,2.442671925,5.154353495,0.965033616,1.298369956,9.860428991,0.281530171,0.488925701,-0.207395529
266230,RC Deportivo La Coruña,Barcelona,2.727403141,5.32539856,1.162879668,1.310923333,10.5266047,0.273159949,0.491835216,-0.218675267
266234,Portland Thorns,Seattle Reign,4.146899757,3.323311215,1.609514883,1.437944806,10.51767066,0.377966739,0.332286626,0.045680113
266236,Athletic Club,Barcelona,2.597621265,5.185086825,1.221587901,1.258945379,10.26324137,0.25673943,0.501569549,-0.244830119
266240,Real Sociedad,Barcelona,2.298655926,5.688373639,1.153985938,1.337843663,10.47885917,0.236906863,0.525297251,-0.288390388
266254,Barcelona,Celta Vigo,4.480502979,2.590294312,1.984382146,1.913103125,10.96828256,0.401997663,0.242660901,0.159336762
266256,Barcelona,Atlético Madrid,4.374859543,2.543655586,2.173044287,1.946904528,11.03846394,0.375842128,0.250922172,0.124919957
266273,Deportivo Alavés,Barcelona,2.628245299,5.665015751,0.914290071,1.088229027,10.29578015,0.27216823,0.533332755,-0.261164526
266274,Barcelona,Celta Vigo,5.244080099,2.867107384,1.513242485,1.367926988,10.99235696,0.463846346,0.274047039,0.189799306
266280,Barcelona,Sevilla,4.65119794,3.476822163,1.468638013,1.464164453,11.06082257,0.420106583,0.314741124,0.10536546
266299,Barcelona,Celta Vigo,5.312827381,2.953471424,1.341776954,1.395090243,11.003166,0.487690604,0.263574878,0.224115726
266310,RC Deportivo La Coruña,Barcelona,3.381784835,5.264167291,0.971867465,0.815267276,10.43308687,0.309130432,0.519574652,-0.210444221
266320,Barcelona,Espanyol,6.460594106,1.83938224,1.438685227,1.573113579,11.31177515,0.583022768,0.150723813,0.432298954
266357,Osasuna,Barcelona,1.702642422,6.652468419,1.21324805,0.823611863,10.39197075,0.126348146,0.677648617,-0.551300471
266406,Villarreal,Barcelona,2.268499838,5.839807127,1.039810013,1.203144153,10.35126113,0.234931179,0.548384677,-0.313453498
266420,Almería,Barcelona,2.610881979,5.760403231,1.163579299,1.128750986,10.6636155,0.241574133,0.543458412,-0.301884279
266424,Real Madrid,Barcelona,3.575221867,5.080702936,0.977875117,0.831708247,10.46550817,0.327652986,0.499437746,-0.17178476
266433,Barcelona,Espanyol,6.138518505,1.854927797,1.543718856,1.716784774,11.25394993,0.560832815,0.149446362,0.411386453
266440,Barcelona,Valencia,5.878573782,2.072821732,1.347356951,1.316679925,10.61543239,0.550886346,0.198154788,0.352731557
266462,Osasuna,Barcelona,2.202582912,6.010286047,1.125693721,1.050771011,10.38933369,0.204792749,0.585716942,-0.380924193
266466,Washington Spirit,North Carolina Courage,3.711894713,3.610400331,1.511780302,1.638980357,10.4730557,0.366568734,0.332586818,0.033981915
266467,Celta Vigo,Barcelona,3.262448936,3.869562292,1.423997937,1.467675611,10.02368478,0.329831463,0.381684451,-0.051852988
266477,Villarreal,Barcelona,2.456227165,5.425118886,1.180187564,1.094015612,10.15554923,0.233375385,0.54268762,-0.309312235
266490,Barcelona,Levante,5.508906494,2.64981485,1.332991181,1.176123044,10.66783557,0.501698618,0.263097699,0.238600919
266491,Barcelona,Getafe,5.33612882,2.005730825,2.184908605,1.930928889,11.45769714,0.44355764,0.197222052,0.246335588
266498,Barcelona,Getafe,5.257130469,2.551153074,1.543735164,1.478524453,10.83054316,0.479377597,0.241572721,0.237804876
266516,Real Betis,Barcelona,2.823319829,4.337810882,1.396310314,1.60406261,10.16150363,0.298289725,0.406441678,-0.108151953
266525,Barcelona,Valencia,4.911174719,2.757398493,1.688813956,1.5856231,10.94301027,0.439365745,0.261407901,0.177957844
266528,Barcelona,Espanyol,5.04659535,2.499333406,1.78384895,1.529554025,10.85933173,0.441307121,0.25357254,0.187734581
266531,Espanyol,Barcelona,2.504030318,5.52050425,1.161010113,1.176514577,10.36205926,0.243150007,0.531265036,-0.288115029
266557,Barcelona,Valencia,5.537824775,2.368629884,1.632660475,1.442299553,10.98141469,0.486955825,0.233029248,0.253926577
266560,Valencia,Barcelona,2.672018547,5.510802592,1.222568107,1.303431599,10.70882084,0.257066775,0.507052941,-0.249986166
266574,Utah Royals,Seattle Reign,3.844952762,3.961945386,1.329069983,1.235309571,10.3712777,0.361690474,0.391051702,-0.029361228
266603,Real Valladolid,Barcelona,2.311899173,5.364239981,1.257426388,1.39340184,10.32696738,0.237037122,0.506272978,-0.269235856
266613,Barcelona,Valencia,5.492905493,2.957109327,1.482460651,1.119452855,11.05192833,0.464163135,0.300410664,0.163752471
266620,Barcelona,Granada,5.243303091,2.823387313,1.433413663,1.382270261,10.88237433,0.477116439,0.264145547,0.212970893
266631,Atlético Madrid,Barcelona,1.983721042,5.439804185,1.151442064,1.416463103,9.991430394,0.225067082,0.517922153,-0.292855072
