,match_id,competition,season,home_team,away_team,home_score,away_score,home_win,away_win,tie,match_id_2,home_team_2,away_team_2,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI,Home_Win_Pred,away_Win_Pred
28,16275, La Liga, 2018/2019, Deportivo Alavés, Barcelona,0,2,0,1,0,16275,Deportivo Alavés,Barcelona,2.092189719,6.115939417,0.897295617,1.230705173,10.33612993,0.234671903,0.559448256,-0.324776353,0,1
29,16306, La Liga, 2018/2019, Barcelona, Getafe,2,0,1,0,0,16306,Barcelona,Getafe,6.317606509,2.143705607,1.459194305,1.173988467,11.09449489,0.543729186,0.21892943,0.324799755,1,0
30,16317, La Liga, 2018/2019, Eibar, Barcelona,2,2,0,0,1,16317,Eibar,Barcelona,3.80856926,4.721077454,0.795977321,1.112214228,10.43783826,0.395178203,0.422006975,-0.026828772,0,1
31,18235, Champions League, 2009/2010, Bayern Munich, Inter Milan,0,2,0,1,0,18235,Bayern Munich,Inter Milan,5.230896469,2.719666372,1.166334818,1.23979736,10.35669502,0.512167154,0.25550659,0.256660564,1,0
32,18236, Champions League, 2010/2011, Barcelona, Manchester United,3,1,1,0,0,18236,Barcelona,Manchester United,5.796856014,2.512666787,1.593440941,1.312557291,11.21552103,0.491815971,0.249078971,0.242737,1,0
33,18237, Champions League, 2011/2012, Bayern Munich, Chelsea,1,1,0,0,1,18237,Bayern Munich,Chelsea,4.709790208,3.087011708,1.448329422,1.352421133,10.59755247,0.435372406,0.300344821,0.135027586,1,0
34,18240, Champions League, 2012/2013, Borussia Dortmund, Bayern Munich,1,2,0,1,0,18240,Borussia Dortmund,Bayern Munich,3.307115739,4.614783683,1.295349432,1.2085151,10.42576395,0.30887726,0.450961487,-0.142084227,0,1
35,18241, Champions League, 2013/2014, Real Madrid, Atlético Madrid,4,1,1,0,0,18241,Real Madrid,Atlético Madrid,4.695078851,2.863646309,1.806704306,1.640354325,11.00578379,0.411486265,0.275309451,0.136176815,1,0
36,18242, Champions League, 2014/2015, Juventus, Barcelona,1,3,0,1,0,18242,Juventus,Barcelona,3.250950853,5.011388838,0.975126031,0.990611629,10.22807735,0.319359772,0.488449888,-0.169090116,0,1
37,18243, Champions League, 2015/2016, Real Madrid, Atlético Madrid,1,1,0,0,1,18243,Real Madrid,Atlético Madrid,4.140350057,3.990637111,1.308083274,1.252874233,10.69194467,0.38207652,0.378401336,0.003675184,1,0
38,18244, Champions League, 2016/2017, Juventus, Real Madrid,1,4,0,1,0,18244,Juventus,Real Madrid,3.446038258,4.912324418,0.966997761,0.932562661,10.2579231,0.332582251,0.482237922,-0.14965567,0,1
