,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,duration,related_events,out,half_end,indv_prob,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,N_count,team1_entropy_segment,team2_entropy_segment,SEI
0,d4c31264-f289-4d7e-835f-ece4ae162662,1,1,2023-04-30 00:00:00.000,0,0,Starting XI,1,Athletic Club,Regular Play,Athletic Club,0.0,,,,0.0,,,,,,0.0,,,
1,af6b6bea-0de8-46cf-8f19-8c3ea0a3abf7,2,1,2023-04-30 00:00:00.000,0,0,Starting XI,1,Athletic Club,Regular Play,Barcelona,0.0,,,,0.0,,,,,,0.0,,,
2,ec6950c9-a8bf-40ed-9d71-3ae5814e975a,3,1,2023-04-30 00:00:00.000,0,0,Half Start,1,Athletic Club,Regular Play,Barcelona,0.0,['80773a62-df89-42e1-9cbd-dad5224f47d2'],,,0.0,,,,,,0.0,,,
3,80773a62-df89-42e1-9cbd-dad5224f47d2,4,1,2023-04-30 00:00:00.000,0,0,Half Start,1,Athletic Club,Regular Play,Athletic Club,0.0,['ec6950c9-a8bf-40ed-9d71-3ae5814e975a'],,,0.0,,,,,,0.0,,,
4,e7045746-a7ab-43f9-b58b-57fea795f47f,5,1,2023-04-30 00:00:01.208,0,1,Pass,2,Athletic Club,From Kick Off,Athletic Club,0.5960529999999999,['d1eade07-7ddc-42ae-bb68-c455418d6a22'],,,7.771215418091389e-05,0.0010608874899481456,,,,0.0010608874899481456,0.0,,,
5,d1eade07-7ddc-42ae-bb68-c455418d6a22,6,1,2023-04-30 00:00:01.804,0,1,Ball Receipt*,2,Athletic Club,From Kick Off,Athletic Club,,['e7045746-a7ab-43f9-b58b-57fea795f47f'],,,0.00031084861672365556,0.004682740216293417,,,,0.004682740216293417,0.0,,,
6,733531a6-12f4-4cfd-88c5-c5cdac802f8e,7,1,2023-04-30 00:00:01.974,0,1,Pass,2,Athletic Club,From Kick Off,Athletic Club,1.179338,['17a9d242-e1da-454c-8ac7-5748d456c8b3'],,,7.771215418091389e-05,0.005743627706241562,,,,0.005743627706241562,0.0,,,
7,17a9d242-e1da-454c-8ac7-5748d456c8b3,8,1,2023-04-30 00:00:03.154,0,3,Ball Receipt*,2,Athletic Club,From Kick Off,Athletic Club,,['733531a6-12f4-4cfd-88c5-c5cdac802f8e'],,,0.00031084861672365556,0.009365480432586833,,,,0.009365480432586833,0.0,,,
8,92893cd7-58d0-4dc6-9192-0269f32d899a,9,1,2023-04-30 00:00:04.644,0,4,Pass,2,Athletic Club,From Kick Off,Athletic Club,3.1047,['5e89e9ee-ec2d-4c5d-ac01-53969df94d99'],,,7.771215418091389e-05,0.01042636792253498,,,,0.01042636792253498,0.0,,,
9,5e89e9ee-ec2d-4c5d-ac01-53969df94d99,10,1,2023-04-30 00:00:07.748,0,7,Ball Receipt*,2,Athletic Club,From Kick Off,Athletic Club,,['92893cd7-58d0-4dc6-9192-0269f32d899a'],,,0.00031084861672365556,0.014048220648880252,,,,0.014048220648880252,0.0,,,
10,f7df877c-62be-48d5-a156-31a271a657dd,11,1,2023-04-30 00:00:07.788,0,7,Duel,2,Athletic Club,From Kick Off,Barcelona,0.0,['8692bf04-e8ea-4e8b-95b9-65f1cfb7d18f'],,,0.0015542430836182777,0.014048220648880252,,,,0.014048220648880252,0.0,,,
11,8692bf04-e8ea-4e8b-95b9-65f1cfb7d18f,12,1,2023-04-30 00:00:07.788,0,7,Pass,2,Athletic Club,From Kick Off,Athletic Club,2.6619200000000003,"['66dea2a7-1ad0-48df-a904-35c98f50fb2d', 'b02565e3-4a45-42d1-a597-4831e72bfb2f', 'f7df877c-62be-48d5-a156-31a271a657dd']",,,7.771215418091389e-05,0.015109108138828398,,,0.014500422949588709,0.02960953108841711,1.0,,,
12,645a3780-9cbd-414a-93af-93c8360db7bb,13,1,2023-04-30 00:00:08.655,0,8,Pressure,2,Athletic Club,From Kick Off,Athletic Club,1.832951,"['2e36dbf4-612f-4b71-96f3-3c695ece5b06', 'b02565e3-4a45-42d1-a597-4831e72bfb2f']",,,0.0,0.015109108138828398,,,0.014500422949588709,0.02960953108841711,1.0,,,
13,66dea2a7-1ad0-48df-a904-35c98f50fb2d,14,1,2023-04-30 00:00:10.450,0,10,Ball Receipt*,2,Athletic Club,From Kick Off,Athletic Club,,['8692bf04-e8ea-4e8b-95b9-65f1cfb7d18f'],,,0.00031084861672365556,0.01873096086517367,,,0.014500422949588709,0.03323138381476238,1.0,,,
14,b02565e3-4a45-42d1-a597-4831e72bfb2f,15,1,2023-04-30 00:00:10.450,0,10,Ball Recovery,3,Barcelona,Regular Play,Barcelona,0.0,"['645a3780-9cbd-414a-93af-93c8360db7bb', '8692bf04-e8ea-4e8b-95b9-65f1cfb7d18f']",,,0.0007771215418091389,0.01873096086517367,0.008027333016603492,,0.014500422949588709,0.041258716831365866,1.0,,,
