,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,duration,related_events,out,half_end,indv_prob,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,N_count,team1_entropy_segment,team2_entropy_segment,SEI
0,fada0d1a-64a1-47ac-ba19-cae10cc239ca,1,1,2023-04-30 00:00:00.000,0,0,Starting XI,1,Espanyol,Regular Play,Espanyol,0.0,,,,0.0,,,,,,0.0,,,
1,76b9a11b-5a11-4ab7-920e-fd4de517f744,2,1,2023-04-30 00:00:00.000,0,0,Starting XI,1,Espanyol,Regular Play,Barcelona,0.0,,,,0.0,,,,,,0.0,,,
2,badddc0c-fd5f-4ad1-ae08-7dba6290b229,3,1,2023-04-30 00:00:00.000,0,0,Half Start,1,Espanyol,Regular Play,Barcelona,0.0,['61ce759b-3ee7-4e96-a8e1-7d7664d9607c'],,,0.0,,,,,,0.0,,,
3,61ce759b-3ee7-4e96-a8e1-7d7664d9607c,4,1,2023-04-30 00:00:00.000,0,0,Half Start,1,Espanyol,Regular Play,Espanyol,0.0,['badddc0c-fd5f-4ad1-ae08-7dba6290b229'],,,0.0,,,,,,0.0,,,
4,3cf89562-5581-4e71-ac1e-0d0edad6d044,5,1,2023-04-30 00:00:00.379,0,0,Pass,2,Barcelona,From Kick Off,Barcelona,0.577213,['b27a4222-2783-480c-b908-60fb3568effc'],,,7.373000073730002e-05,,0.0010121203791963532,,,0.0010121203791963532,0.0,,,
5,b27a4222-2783-480c-b908-60fb3568effc,6,1,2023-04-30 00:00:00.957,0,0,Ball Receipt*,2,Barcelona,From Kick Off,Barcelona,,['3cf89562-5581-4e71-ac1e-0d0edad6d044'],,,0.0002949200029492001,,0.004470761890083366,,,0.004470761890083366,0.0,,,
6,eb22834e-6c5e-40fc-b8e3-2b74672ff6d0,7,1,2023-04-30 00:00:00.957,0,0,Carry,2,Barcelona,From Kick Off,Barcelona,0.042842,"['519ce0fb-cf9a-4ea9-bc0f-9f5ff4156f2f', 'b27a4222-2783-480c-b908-60fb3568effc']",,,0.00014746000147460004,,0.006347542647001472,,,0.006347542647001472,0.0,,,
7,519ce0fb-cf9a-4ea9-bc0f-9f5ff4156f2f,8,1,2023-04-30 00:00:00.999,0,0,Pass,2,Barcelona,From Kick Off,Barcelona,0.997575,['ce56b4d4-bbf6-488d-b692-92e8a3246cd5'],,,7.373000073730002e-05,,0.007359663026197825,,,0.007359663026197825,0.0,,,
8,ce56b4d4-bbf6-488d-b692-92e8a3246cd5,9,1,2023-04-30 00:00:01.997,0,1,Ball Receipt*,2,Barcelona,From Kick Off,Barcelona,,['519ce0fb-cf9a-4ea9-bc0f-9f5ff4156f2f'],,,0.0002949200029492001,,0.010818304537084837,,,0.010818304537084837,0.0,,,
9,19f73d63-b7c4-4c22-8733-d6d1b8c1aa18,10,1,2023-04-30 00:00:01.997,0,1,Carry,2,Barcelona,From Kick Off,Barcelona,1.4619900000000001,"['26df65dd-14f2-48ca-9574-301d0af9bb3f', 'ce56b4d4-bbf6-488d-b692-92e8a3246cd5']",,,0.00014746000147460004,,0.012695085294002944,,,0.012695085294002944,0.0,,,
